Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
26009,5/27/11 13:44,Friday,Auto,Pedestrian,,ELIOT ST,MOUNT AUBURN ST," ELIOT ST & MOUNT AUBURN ST Cambridge, MA",42.372869,-71.1214,
26050,5/31/11 21:24,Tuesday,Auto,Pedestrian,,Tremont St,Cambridge St," Tremont St & Cambridge St Cambridge, MA",42.37325,-71.09713,
26061,6/7/11 14:45,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
26067,6/9/11 15:45,Thursday,Taxi,Pedestrian,515,Massachusetts Ave,,"515 Massachusetts Ave Cambridge, MA",42.364432,-71.101772,
26080,6/11/11 14:38,Saturday,Auto,Pedestrian,,Concord Ave,Buckingham St," Concord Ave & Buckingham St Cambridge, MA",42.38111,-71.128817,
26108,6/17/11 12:04,Friday,Auto,Pedestrian,,GREEN ST,MAGAZINE ST," GREEN ST & MAGAZINE ST Cambridge, MA",42.365012,-71.104586,
26112,6/19/11 15:30,Sunday,Auto,Pedestrian,,River St,Auburn St," River St & Auburn St Cambridge, MA",42.364574,-71.106688,
26140,6/24/11 22:50,Friday,Auto,Pedestrian,,Massachusetts Ave,Blanchard Rd," Massachusetts Ave & Blanchard Rd Cambridge, MA",42.362647,-71.099069,
26180,7/4/11 21:00,,Auto,Pedestrian,,Massachusetts Ave,Porter Rd," Massachusetts Ave & Porter Rd Cambridge, MA",42.390041,-71.120685,
26206,7/14/11 8:45,Thursday,Auto,Pedestrian,120,Vassar St,,"120 Vassar St Cambridge, MA",42.358848,-71.096286,
26223,7/15/11 21:40,Friday,Auto,Pedestrian,55,Bishop Allen Dr,,"55 Bishop Allen Dr Cambridge, MA",42.364857,-71.100491,
26293,8/2/11 18:21,Tuesday,Auto,Pedestrian,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365792,-71.09207,
26305,8/3/11 4:54,Wednesday,Auto,Pedestrian,241,Cambridge St,,"241 Cambridge St Cambridge, MA",42.371137,-71.079952,
26297,8/3/11 17:10,Wednesday,Auto,Pedestrian,,Cambridge St,Norfolk St," Cambridge St & Norfolk St Cambridge, MA",42.373133,-71.096239,
26302,8/4/11 16:05,Thursday,Bicycle,Pedestrian,183,PROSPECT ST,,"183 PROSPECT ST Cambridge, MA",42.36992,-71.100806,
26303,8/4/11 16:44,Thursday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
26322,8/9/11 10:03,Tuesday,Truck,Pedestrian,1701,Massachusetts Ave,,"1701 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,
26324,8/9/11 13:30,Tuesday,Auto,Pedestrian,,FRANCIS AVE,River St," FRANCIS AVE & River St Cambridge, MA",42.363569,-71.109686,
26330,8/10/11 11:12,Wednesday,Auto,Pedestrian,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,
26333,8/11/11 9:14,Thursday,Truck,Pedestrian,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,
26360,8/17/11 12:30,Wednesday,Van,Pedestrian,,Cambridge St,HUNTING ST," Cambridge St & HUNTING ST Cambridge, MA",42.372479,-71.091202,
26369,8/19/11 18:01,Friday,Auto,Pedestrian,,Columbia St,Bishop Allen Dr," Columbia St & Bishop Allen Dr Cambridge, MA",42.364154,-71.099474,
26415,8/29/11 17:00,Monday,Auto,Pedestrian,,Inman St,Bishop Allen Dr," Inman St & Bishop Allen Dr Cambridge, MA",42.367335,-71.104827,
26450,9/5/11 14:49,Monday,Auto,Pedestrian,,Massachusetts Ave,Alewife Brook Pky," Massachusetts Ave & Alewife Brook Pky Cambridge, MA",42.400935,-71.135995,
26457,9/8/11 3:00,Thursday,Auto,Pedestrian,,KIRKLAND ST,Trowbridge St," KIRKLAND ST & Trowbridge St Cambridge, MA",42.377629,-71.109393,
26459,9/8/11 9:10,Thursday,Auto,Pedestrian,,Cambridge St,FIFTH ST," Cambridge St & FIFTH ST Cambridge, MA",42.371444,-71.08314,
26510,9/14/11 18:59,Wednesday,Auto,Pedestrian,,MOUNT AUBURN ST,HOLYOKE PL," MOUNT AUBURN ST & HOLYOKE PL Cambridge, MA",42.371757,-71.117847,
26494,9/16/11 12:00,Friday,Auto,Pedestrian,,Broadway,Inman St," Broadway & Inman St Cambridge, MA",42.370072,-71.102933,
26506,9/18/11 15:45,Sunday,Auto,Pedestrian,275,FRESH POND PKY,,"275 FRESH POND PKY Cambridge, MA",42.383769,-71.141606,
26507,9/18/11 15:45,Sunday,Auto,Pedestrian,285,FRESH POND PKY,,"285 FRESH POND PKY Cambridge, MA",42.384559,-71.141664,
26511,9/19/11 8:36,Monday,Auto,Pedestrian,45,Yerxa Rd,,"45 Yerxa Rd Cambridge, MA",42.39169,-71.129329,
26520,9/21/11 8:29,Wednesday,Auto,Pedestrian,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373017,-71.095346,
26523,9/21/11 22:44,Wednesday,Auto,Pedestrian,,Franklin St,PEARL ST," Franklin St & PEARL ST Cambridge, MA",42.363651,-71.103735,
26529,9/23/11 9:49,Friday,Taxi,Pedestrian,,Broadway,Windsor St," Broadway & Windsor St Cambridge, MA",42.367107,-71.095416,
26553,9/29/11 0:00,Thursday,Auto,Pedestrian,,GREEN ST,Western Ave," GREEN ST & Western Ave Cambridge, MA",42.36527,-71.105023,
26581,10/4/11 21:30,Tuesday,Auto,Pedestrian,235,Albany St,,"235 Albany St Cambridge, MA",42.358865,-71.100702,
26592,10/7/11 9:40,Friday,Bicycle,Pedestrian,583,MOUNT AUBURN ST,,"583 MOUNT AUBURN ST Cambridge, MA",42.375426,-71.145214,
26609,10/12/11 12:40,Wednesday,Auto,Pedestrian,,Webster Ave,York St," Webster Ave & York St Cambridge, MA",42.36999,-71.093404,
26615,10/13/11 9:14,Thursday,Auto,Pedestrian,,Western Ave,Blackstone St," Western Ave & Blackstone St Cambridge, MA",42.364405,-71.11482,
